id;iddata;kdpumprov;kdpbps;wadmng;wadmpr;tahun;turtahun;nilai;turvar;vervar;updated_at
1;0054000001;11;11;Indonesia;ACEH;2022;;0.311;;;2023-10-25 14:00:07.080783
2;0054000001;12;12;Indonesia;SUMATERA UTARA;2022;;0.312;;;2023-10-25 14:00:07.080783
3;0054000001;13;13;Indonesia;SUMATERA BARAT;2022;;0.300;;;2023-10-25 14:00:07.080783
4;0054000001;14;14;Indonesia;RIAU;2022;;0.326;;;2023-10-25 14:00:07.080783
5;0054000001;15;15;Indonesia;JAMBI;2022;;0.320;;;2023-10-25 14:00:07.080783
6;0054000001;16;16;Indonesia;SUMATERA SELATAN;2022;;0.339;;;2023-10-25 14:00:07.080783
7;0054000001;17;17;Indonesia;BENGKULU;2022;;0.315;;;2023-10-25 14:00:07.080783
8;0054000001;18;18;Indonesia;LAMPUNG;2022;;0.314;;;2023-10-25 14:00:07.080783
9;0054000001;19;19;Indonesia;KEP. BANGKA BELITUNG;2022;;0.236;;;2023-10-25 14:00:07.080783
10;0054000001;21;21;Indonesia;KEP. RIAU;2022;;0.342;;;2023-10-25 14:00:07.080783
11;0054000001;31;31;Indonesia;DKI JAKARTA;2022;;0.423;;;2023-10-25 14:00:07.080783
12;0054000001;32;32;Indonesia;JAWA BARAT;2022;;0.417;;;2023-10-25 14:00:07.080783
13;0054000001;33;33;Indonesia;JAWA TENGAH;2022;;0.374;;;2023-10-25 14:00:07.080783
14;0054000001;34;34;Indonesia;DI YOGYAKARTA;2022;;0.439;;;2023-10-25 14:00:07.080783
15;0054000001;35;35;Indonesia;JAWA TIMUR;2022;;0.371;;;2023-10-25 14:00:07.080783
16;0054000001;36;36;Indonesia;BANTEN;2022;;0.363;;;2023-10-25 14:00:07.080783
17;0054000001;51;51;Indonesia;BALI;2022;;0.363;;;2023-10-25 14:00:07.080783
18;0054000001;52;52;Indonesia;NUSA TENGGARA BARAT;2022;;0.373;;;2023-10-25 14:00:07.080783
19;0054000001;53;53;Indonesia;NUSA TENGGARA TIMUR;2022;;0.334;;;2023-10-25 14:00:07.080783
20;0054000001;61;61;Indonesia;KALIMANTAN BARAT;2022;;0.314;;;2023-10-25 14:00:07.080783
21;0054000001;62;62;Indonesia;KALIMANTAN TENGAH;2022;;0.319;;;2023-10-25 14:00:07.080783
22;0054000001;63;63;Indonesia;KALIMANTAN SELATAN;2022;;0.317;;;2023-10-25 14:00:07.080783
23;0054000001;64;64;Indonesia;KALIMANTAN TIMUR;2022;;0.327;;;2023-10-25 14:00:07.080783
24;0054000001;65;65;Indonesia;KALIMANTAN UTARA;2022;;0.272;;;2023-10-25 14:00:07.080783
25;0054000001;71;71;Indonesia;SULAWESI UTARA;2022;;0.365;;;2023-10-25 14:00:07.080783
